Unnamed: 0,prefix_v4,status,status_name,prefix_v6,is_anchor,last_connected,tags,type,address_v6,latitude,longitude,id,address_v4,country_code,is_public,asn_v4,asn_v6,status_since,first_connected,total_uptime,cc
19,63.216.0.0/13,3.0,Abandoned,,False,1458335017.0,"['core', 'no-nat', 'system-v3', 'system-ipv4-capable']",Probe,,-1.3025,36.8195,14940.0,63.223.1.106,KE,True,3491.0,,1458335017.0,1425898430.0,29235101.0,KE
20,63.223.11.0/24,2.0,Disconnected,,False,1598923542.0,"['core', 'no-nat', 'system-v3', 'system-ipv4-capable']",Probe,,-1.3325,36.8695,14950.0,63.223.11.42,KE,True,3491.0,,1598923542.0,1427120857.0,166059701.0,KE
21,41.212.56.0/24,2.0,Disconnected,,False,1594187377.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918']",Probe,,-1.3205,36.8475,15304.0,41.212.56.22,KE,True,15399.0,,1594187377.0,1404885238.0,37316907.0,KE
22,154.66.240.0/24,3.0,Abandoned,,False,1490284934.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-trying-to-connect', 'system-no-flash-drive']",Probe,,-1.2885,36.8175,15309.0,154.66.240.118,KE,True,37662.0,,1490284934.0,1402318726.0,74416599.0,KE
23,102.135.170.0/24,3.0,Abandoned,2001:4368::/32,False,1465116279.0,"['system-v3', 'system-ipv4-capable', 'system-ipv6-capable', 'system-flash-drive-filesystem-corrupted']",Probe,2001:4368:6:0:6666:b3ff:fec5:6e8,-4.0605,39.6615,15394.0,102.135.170.118,KE,True,328331.0,9129.0,1465116279.0,1406026453.0,58404791.0,KE
24,197.232.0.0/16,2.0,Disconnected,,False,1600603339.0,"['system-ipv4-capable', 'system-v3']",Probe,,-1.2885,36.8215,15398.0,197.232.96.34,KE,True,36866.0,,1600603339.0,1587923326.0,11344849.0,KE
25,,0.0,Never Connected,,False,,"['system-v3', 'system-dns-problem-suspected']",Probe,,-1.2095,36.6595,16457.0,,KE,True,,,,,0.0,KE
26,41.80.128.0/19,3.0,Abandoned,,False,1559916663.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'probe-v3']",Probe,,-1.2285,36.7385,18738.0,41.80.138.54,KE,True,33771.0,,1559916663.0,1418882336.0,3474108.0,KE
27,212.49.64.0/19,3.0,Abandoned,,False,1483190766.0,"['dsl', 'system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918']",Probe,,-0.6095,36.5685,19126.0,,KE,False,12455.0,,1483190766.0,1448261186.0,33723339.0,KE
28,193.0.20.0/23,3.0,Abandoned,2001:67c:2e8::/48,False,1561470156.0,"['system-v3', 'system-ipv4-capable', 'system-ipv6-capable']",Probe,2001:67c:2e8:110:ea94:f6ff:fe48:57e8,0.5115,35.2795,19549.0,193.0.21.203,KE,True,3333.0,3333.0,1561470156.0,1454498851.0,47474034.0,KE
29,160.119.216.0/24,1.0,Connected,2001:43f8:d60::/48,False,1600959486.0,"['system-ipv4-stable-1d', 'datacentre', 'no-nat', 'native-ipv6', 'ipv4', 'ipv6', 'system-v3', 'native-ipv4', 'system-ipv4-capable', 'system-ipv6-capable', 'system-ipv6-stable-90d', 'system-ipv4-works', 'system-ipv6-works', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly', 'system-ipv4-stable-30d', 'system-ipv6-stable-1d', 'system-ipv6-stable-30d']",Probe,2001:43f8:d60:300:ea94:f6ff:fee3:7120,-4.0105,39.5875,22215.0,160.119.216.205,KE,True,328162.0,328162.0,1597761115.0,1440935978.0,143540905.0,KE
30,154.70.44.0/22,1.0,Connected,,False,1600959486.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-ipv4-works', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly']",Probe,,-1.2885,36.7875,22218.0,154.70.45.177,KE,True,15399.0,,1600929723.0,1481645117.0,62053370.0,KE
31,,0.0,Never Connected,,False,,"['system-v3', 'system-dns-problem-suspected']",Probe,,-1.3285,36.8675,22419.0,,KE,True,,,,,0.0,KE
32,197.248.0.0/16,1.0,Connected,,False,1600959486.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-works', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly', 'system-ipv4-stable-1d', 'system-ipv4-rfc1918']",Probe,,-1.2985,36.7895,23459.0,197.248.222.242,KE,True,37061.0,,1600852583.0,1445949962.0,115493439.0,KE
33,41.90.32.0/19,3.0,Abandoned,,False,1512454222.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918']",Probe,,-1.3905,36.7615,23594.0,41.90.40.134,KE,True,33771.0,,1512454222.0,1433100177.0,16918450.0,KE
34,197.237.112.0/24,3.0,Abandoned,,False,1457282274.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918']",Probe,,-1.2625,36.8215,24380.0,197.237.112.49,KE,True,15399.0,,1457282274.0,1443981591.0,12190432.0,KE
35,193.0.20.0/23,3.0,Abandoned,,False,1574422714.0,"['system-v3', 'system-ipv4-capable']",Probe,,-4.0415,39.6675,24402.0,193.0.21.140,KE,True,3333.0,,1574422714.0,1449069531.0,35501159.0,KE
36,41.79.8.0/22,3.0,Abandoned,,False,,"['system-v3', 'system-ipv4-capable', 'system-flash-drive-filesystem-corrupted']",Probe,,-1.3305,36.8995,24755.0,41.79.8.130,KE,True,37305.0,,1493705220.0,,603.0,KE
37,,0.0,Never Connected,,False,,"['system-v3', 'system-firewall-problem-suspected']",Probe,,-1.2695,36.8095,24756.0,,KE,True,,,,,0.0,KE
38,,0.0,Never Connected,,False,,['system-v3'],Probe,,-4.0585,39.6695,24759.0,,KE,True,,,,,0.0,KE
39,196.200.40.0/24,3.0,Abandoned,,False,1564636271.0,"['fibre', 'datacentre', 'isp', 'system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'noc', 'system-flash-drive-filesystem-corrupted']",Probe,,-4.0415,39.6685,25132.0,196.200.40.138,KE,True,15399.0,,1564636271.0,1448604076.0,18456853.0,KE
40,105.16.0.0/12,1.0,Connected,2c0f:feb0::/32,False,1600959486.0,"['system-v3', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly', 'system-ipv4-works', 'system-ipv6-works', 'system-ipv4-capable', 'system-ipv6-capable', 'system-ipv6-stable-90d', 'system-ipv6-stable-1d', 'system-ipv6-stable-30d']",Probe,2c0f:feb0:3:1::2,-1.2925,36.8175,25210.0,105.16.120.2,KE,True,37100.0,37100.0,1600076208.0,1448886201.0,137317389.0,KE
41,197.232.0.0/16,3.0,Abandoned,,False,1484991756.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-readonly-flash-drive']",Probe,,-1.3015,36.7875,27313.0,197.232.26.4,KE,True,36866.0,,1484991756.0,1461041128.0,16104878.0,KE
42,197.155.64.0/19,3.0,Abandoned,2001:43f8:10::/48,False,1539938187.0,"['system-v3', 'system-ipv4-capable', 'system-ipv6-capable', 'system-trying-to-connect', 'ipv4', 'fibre', 'ipv6', 'system-bad-firmware-signature']",Probe,,-1.2885,36.8185,27439.0,,KE,False,30844.0,36948.0,1539938187.0,1446122143.0,48061028.0,KE
43,41.89.64.0/19,3.0,Abandoned,,False,1434955178.0,"['system-v3', 'system-ipv4-capable']",Probe,,-1.2695,36.7995,27446.0,41.89.65.62,KE,True,36914.0,,1434955178.0,1434639607.0,434577.0,KE
44,,0.0,Never Connected,,False,,"['system-v3', 'system-dns-problem-suspected']",Probe,,-1.2885,36.8195,27559.0,,KE,False,,,,,0.0,KE
45,197.136.0.0/14,3.0,Abandoned,,False,1498376096.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918']",Probe,,-1.2895,36.8195,28246.0,197.136.38.2,KE,True,36914.0,,1498376096.0,1469110845.0,28889051.0,KE
46,41.89.160.0/19,3.0,Abandoned,,False,1476271734.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-readonly-flash-drive']",Probe,,0.2605,35.0885,28437.0,41.89.162.2,KE,True,36914.0,,1476271734.0,1464073416.0,11455352.0,KE
47,196.43.220.0/24,3.0,Abandoned,,False,1530973431.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-flash-drive-filesystem-corrupted']",Probe,,-1.2925,36.8185,28530.0,196.43.220.60,KE,True,37346.0,,1530973431.0,1466585137.0,8863810.0,KE
48,197.136.0.0/14,3.0,Abandoned,2001:67c:2e8::/48,False,1474624868.0,"['system-v3', 'system-ipv4-capable', 'system-ipv6-capable', 'system-ipv4-rfc1918', 'system-no-flash-drive']",Probe,2001:67c:2e8:ffe2:a62b:b0ff:fedf:ebca,-1.5225,37.2705,29071.0,197.136.137.5,KE,True,36914.0,3333.0,1474624868.0,1474623332.0,8458.0,KE
49,41.89.160.0/19,3.0,Abandoned,,False,1492151613.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918']",Probe,,0.5215,35.2715,29088.0,41.89.162.2,KE,True,36914.0,,1492151613.0,1483433903.0,7947264.0,KE
50,197.232.0.0/16,1.0,Connected,,False,1600959486.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-stable-30d', 'system-ipv4-works', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly', 'system-ipv4-rfc1918']",Probe,,-1.2885,36.8195,29158.0,,KE,False,36866.0,,1600954392.0,1489168914.0,95153524.0,KE
51,41.204.176.0/21,3.0,Abandoned,,False,1577241512.0,"['system-v3', 'system-ipv4-capable']",Probe,,-0.3005,36.0795,29344.0,41.204.180.154,KE,True,36914.0,,1577241512.0,1568619085.0,8227047.0,KE
52,41.204.176.0/21,3.0,Abandoned,,False,1570517417.0,"['system-v3', 'system-ipv4-capable', 'system-dns-problem-suspected']",Probe,,0.0515,37.6485,29729.0,41.204.180.158,KE,True,36914.0,,1570517417.0,1568621790.0,1473203.0,KE
53,197.237.184.0/22,3.0,Abandoned,,False,1557236851.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-no-flash-drive']",Probe,,-1.2895,36.7895,30346.0,197.237.184.118,KE,True,15399.0,,1557236851.0,1488175204.0,30646711.0,KE
54,41.242.3.0/24,3.0,Abandoned,,False,1528444990.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-flash-drive-filesystem-corrupted']",Probe,,-1.3305,36.8695,32144.0,41.242.3.162,KE,True,37684.0,,1528444990.0,1527164266.0,1309607.0,KE
55,197.237.219.0/24,3.0,Abandoned,,False,1498463390.0,"['system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918']",Probe,,-1.2885,36.8185,33238.0,,KE,False,15399.0,,1498463390.0,1496916249.0,1443.0,KE
56,41.80.160.0/19,1.0,Connected,,False,1600959486.0,"['system-ipv4-stable-1d', 'system-v3', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-ipv4-works', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly']",Probe,,-1.2905,36.8175,33614.0,41.80.179.243,KE,True,33771.0,,1600601587.0,1566705857.0,9678694.0,KE
57,197.232.0.0/16,3.0,Abandoned,,False,1508929046.0,"['system-v3', 'system-auto-geoip-country', 'system-ipv4-capable', 'system-ipv4-rfc1918']",Probe,,0.9975,37.9995,33741.0,,KE,False,36866.0,,1508929046.0,1508926477.0,6249.0,KE
58,41.204.180.0/22,1.0,Connected,,False,1600959486.0,"['system-ipv4-stable-90d', 'system-v3', 'system-ipv4-capable', 'system-ipv4-works', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly', 'system-ipv4-stable-30d', 'system-ipv4-stable-1d']",Probe,,0.5075,35.2695,33751.0,41.204.180.14,KE,True,36914.0,,1597845397.0,1562232615.0,37247699.0,KE
59,41.204.180.0/22,1.0,Connected,,False,1600959486.0,"['system-ipv4-stable-1d', 'system-ipv4-stable-90d', 'system-v3', 'system-ipv4-capable', 'system-ipv4-works', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly', 'system-ipv4-stable-30d']",Probe,,-4.0415,39.6695,33752.0,41.204.180.10,KE,True,36914.0,,1597974251.0,1562241211.0,35560986.0,KE
60,41.242.3.0/24,1.0,Connected,,False,1600959486.0,"['system-v3', 'system-resolves-a-correctly', 'system-resolves-aaaa-correctly', 'system-ipv4-works', 'system-ipv4-capable', 'system-ipv4-rfc1918', 'system-ipv4-stable-30d']",Probe,,-1.2905,36.7905,33965.0,41.242.3.162,KE,True,37684.0,,1600910861.0,1527164080.0,72127786.0,KE
61,41.60.232.0/21,1.0,Connected,,False,1600959486.0,"['system-ipv4-capable', 'system-ipv4-rfc1918', 'system-v4', 'pilot-probe-v4', 'home', 'nat', 'ftth', 'fibre', 'ipv4', 'system-ipv4-works', 'system-resolver-mangles-case']",Probe,,-1.2015,36.6385,50022.0,41.60.233.66,KE,True,30844.0,,1600912701.0,1526304503.0,22813009.0,KE
0,,3.0,Abandoned,,False,1357651853.0,"['system-ipv4-rfc1918', 'system-auto-geoip-city', 'system-v1', 'nat']",Probe,,6.1315,1.2185,228.0,,TG,False,,,1357651853.0,1299281962.0,48395774.0,TG
1,196.170.0.0/16,1.0,Connected,,False,1600959484.0,"['system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv4-works', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3', 'nat']",Probe,,6.1685,1.2275,10203.0,196.170.41.250,TG,True,24691.0,,1600921818.0,1366131969.0,145414435.0,TG
2,,3.0,Abandoned,,False,1419167665.0,"['system-ipv4-rfc1918', 'system-v3', 'nat']",Probe,,6.1405,1.2085,11927.0,,TG,True,,,1419167665.0,1378931869.0,18862206.0,TG
3,160.242.192.0/21,3.0,Abandoned,,False,1477040834.0,"['system-flash-drive-filesystem-corrupted', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",Probe,,6.1685,1.2295,18243.0,160.242.199.34,TG,True,24691.0,,1477040834.0,1439285834.0,34536157.0,TG
4,80.248.68.0/24,3.0,Abandoned,,False,1542010608.0,"['system-no-flash-drive', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",Probe,,8.6215,0.8175,18718.0,80.248.68.70,TG,True,30982.0,,1542010608.0,1419027543.0,81697151.0,TG
5,80.248.67.0/24,3.0,Abandoned,2001:470::/32,False,1505703246.0,"['system-no-flash-drive', 'system-ipv4-rfc1918', 'system-ipv6-capable', 'system-ipv4-capable', 'system-v3', 'ipv6-tunnel', 'nat', 'office', 'dsl']",Probe,2001:470:1f13:9db:ea94:f6ff:fe48:57d8,6.1285,1.2195,18753.0,80.248.67.99,TG,True,30982.0,6939.0,1505703246.0,1418900548.0,52278181.0,TG
6,41.207.188.0/22,3.0,Abandoned,,False,1566587558.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",Probe,,6.1775,1.2115,19591.0,41.207.188.2,TG,True,24691.0,,1566587558.0,1429300073.0,132837336.0,TG
7,,0.0,Never Connected,,False,,"['system-dns-problem-suspected', 'system-v3']",Probe,,6.1295,1.2185,21635.0,,TG,True,,,,,0.0,TG
8,160.242.192.0/21,3.0,Abandoned,,False,1583153605.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",Probe,,6.1695,1.2295,21655.0,160.242.192.83,TG,True,24691.0,,1583153605.0,1515082648.0,66209392.0,TG
9,41.207.177.0/24,3.0,Abandoned,,False,1543840439.0,"['system-no-flash-drive', 'system-trying-to-connect', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",Probe,,6.1675,1.2315,21680.0,41.207.177.9,TG,True,24691.0,,1543840439.0,1516014391.0,26796446.0,TG
10,196.170.0.0/16,2.0,Disconnected,,False,1596711882.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",Probe,,6.2095,1.1915,21684.0,196.170.62.211,TG,True,24691.0,,1596711882.0,1516295859.0,36385316.0,TG
11,154.70.81.0/24,3.0,Abandoned,,False,1431445464.0,"['system-no-flash-drive', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",Probe,,6.1275,1.2205,22361.0,154.70.81.207,TG,True,30982.0,,1431445464.0,1429881687.0,1381513.0,TG
12,160.242.192.0/21,3.0,Abandoned,,False,1497526112.0,"['system-no-flash-drive', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",Probe,,6.1715,1.2285,22438.0,160.242.199.34,TG,True,24691.0,,1497526112.0,1452246251.0,37066584.0,TG
13,41.207.168.0/22,3.0,Abandoned,,False,1514313568.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",Probe,,6.1685,1.2495,22443.0,41.207.171.174,TG,True,24691.0,,1514313568.0,1507548870.0,6263100.0,TG
14,41.207.188.0/22,3.0,Abandoned,,False,1540886942.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",Probe,,6.1915,1.2605,22468.0,41.207.190.73,TG,True,24691.0,,1540886942.0,1474212612.0,52360402.0,TG
15,160.242.192.0/23,3.0,Abandoned,,False,1480610483.0,"['system-flash-drive-filesystem-corrupted', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-auto-geoip-country', 'system-v3']",Probe,,8.0015,1.1685,29029.0,,TG,False,24691.0,,1480610483.0,1480427197.0,283253.0,TG
16,196.170.0.0/16,3.0,Abandoned,,False,1582102179.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3', 'adsl']",Probe,,6.1685,1.2285,30033.0,196.170.31.227,TG,True,24691.0,,1582102179.0,1482188964.0,80410299.0,TG
17,41.78.136.0/24,3.0,Abandoned,,False,1499928628.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3', 'mobile']",Probe,,6.1695,1.2285,30034.0,41.78.136.106,TG,True,37229.0,,1499928628.0,1497481739.0,2025186.0,TG
18,102.164.224.0/20,3.0,Abandoned,,False,1553019752.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",Probe,,6.1275,1.2305,30161.0,102.164.230.46,TG,True,328282.0,,1553019752.0,1550570785.0,2442654.0,TG
19,196.170.0.0/16,1.0,Connected,,False,1600959484.0,"['system-ipv4-stable-1d', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv4-works', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",Probe,,8.6175,0.8195,32641.0,196.170.51.75,TG,True,24691.0,,1600930588.0,1515063779.0,45163768.0,TG
20,196.168.0.0/15,3.0,Abandoned,,False,1524508649.0,"['system-dns-problem-suspected', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",Probe,,8.6185,0.8195,32642.0,196.168.163.19,TG,True,24691.0,,1524508649.0,1516007621.0,5706142.0,TG
21,196.168.0.0/15,3.0,Abandoned,,False,1548677998.0,"['system-flash-drive-filesystem-corrupted', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",Probe,,6.1695,1.2305,32674.0,196.168.170.154,TG,True,24691.0,,1548677998.0,1517481648.0,23831593.0,TG
22,102.64.128.0/17,1.0,Connected,2c0f:f0f8::/32,False,1600959484.0,"['system-ipv4-stable-1d', 'system-ipv4-stable-90d', 'system-ipv6-capable', 'system-resolves-aaaa-correctly', 'system-resolves-a-correctly', 'system-ipv6-works', 'system-ipv4-works', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",Probe,2c0f:f0f8:515:df00:1ad6:c7ff:fef2:f67c,6.1275,1.2275,33310.0,102.64.138.51,TG,True,36924.0,36924.0,1600855248.0,1572436289.0,27593722.0,TG
23,196.171.0.0/16,3.0,Abandoned,,False,1537351878.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3']",Probe,,8.6195,0.8185,35025.0,196.171.83.54,TG,True,24691.0,,1537351878.0,1522846201.0,13825119.0,TG
24,196.171.0.0/16,3.0,Abandoned,,False,1522151572.0,"['system-no-flash-drive', 'system-ipv4-rfc1918', 'system-ipv4-capable', 'system-auto-geoip-country', 'system-v3']",Probe,,8.0005,1.1685,35026.0,,TG,False,24691.0,,1522151572.0,1521474600.0,587337.0,TG
0,,3.0,Abandoned,,False,1292237249.0,"['system-dns-problem-suspected', 'system-v1', 'no-nat']",Probe,,-15.4115,28.2895,252.0,,ZM,False,,,1292237249.0,1292027128.0,264090.0,ZM
1,41.216.0.0/24,3.0,Abandoned,::/1,False,1461055812.0,"['system-ipv6-capable', 'system-ipv4-capable', 'system-v2', 'no-nat']",Probe,2c0f:fe80:0:11:280:a3ff:fe91:4484,-15.4085,28.2915,4089.0,41.216.0.249,ZM,True,37043.0,9498.0,1461055812.0,1357196707.0,87468256.0,ZM
2,,3.0,Abandoned,,False,1384090583.0,"['system-flash-drive-filesystem-corrupted', 'system-v3', 'no-nat']",Probe,,-15.4105,28.2895,11354.0,,ZM,True,,,1384090583.0,1372090075.0,5897915.0,ZM
3,41.72.104.0/21,3.0,Abandoned,,False,1497446030.0,"['system-ipv4-rfc1918', 'system-ipv4-capable', 'system-v3', 'nat']",Probe,,-15.4185,28.3075,13519.0,41.72.108.150,ZM,True,37154.0,,1497446030.0,1392658211.0,94574645.0,ZM
4,41.77.144.0/21,3.0,Abandoned,2a01:410:2::/48,False,1564123843.0,"['system-ipv4-rfc1918', 'system-ipv6-capable', 'system-ipv4-capable', 'system-v3']",Probe,,-12.8205,28.2195,13755.0,,ZM,False,30844.0,30844.0,1564123843.0,1400507760.0,145983904.0,ZM
