Rank,asn_v4,AS_Name,CC,Users,country_pct,Internet_pct,Samples
1,"AS4134","CHINANET-BACKBONE No.31,Jin-rong Street","CN",313840394,42.36,9.0216,10541389
2,"AS55836","RELIANCEJIO-IN Reliance Jio Infocomm Limited","IN",176773827,37.19,5.0815,24749700
3,"AS4837","CHINA169-BACKBONE CHINA UNICOM China169 Backbone","CN",119269448,16.10,3.4285,4006067
4,"AS45609","BHARTI-MOBILITY-AS-AP Bharti Airtel Ltd. AS for GPRS Service","IN",65474205,13.77,1.8821,9166894
5,"AS9808","CMNET-GD Guangdong Mobile Communication Co.Ltd.","CN",53750768,7.25,1.5451,1805401
6,"AS7922","COMCAST-7922 - Comcast Cable Communications, LLC","US",49214510,16.92,1.4147,12399436
7,"AS4812","CHINANET-SH-AP China Telecom (Group)","CN",40749961,5.50,1.1714,1368725
8,"AS56040","CMNET-GUANGDONG-AP China Mobile communications corporation","CN",32596336,4.40,0.9370,1094858
9,"AS4808","CHINA169-BJ China Unicom Beijing Province Network","CN",30049771,4.06,0.8638,1009323
10,"AS8151","Uninet S.A. de C.V.","MX",28268310,47.47,0.8126,5721786
11,"AS38266","HUTCHVAS-AS Vodafone Essar Ltd., Telecommunication - Value Added Services","IN",27894605,5.87,0.8018,3905460
12,"AS29465","VCG-AS","NG",27576115,29.93,0.7927,503040
13,"AS22394","CELLCO - Cellco Partnership DBA Verizon Wireless","US",25450766,8.75,0.7316,6412238
14,"AS7018","ATT-INTERNET4 - ATT Services, Inc.","US",25442721,8.75,0.7314,6410211
15,"AS17676","GIGAINFRA Softbank BB Corp.","JP",24996322,21.61,0.7185,1512956
16,"AS3320","DTAG Internet service provider operations","DE",24503170,33.78,0.7044,1521504
17,"AS45271","ICLNET-AS-AP Idea Cellular Limited","IN",24091029,5.07,0.6925,3372930
18,"AS2516","KDDI KDDI CORPORATION","JP",23499440,20.32,0.6755,1422354
19,"AS28573","CLARO S.A.","BR",23433478,16.64,0.6736,2263400
20,"AS36873","VNL1-AS","NG",23284889,25.27,0.6693,424760
21,"AS9829","BSNL-NIB National Internet Backbone","IN",21711139,4.57,0.6241,3039727
22,"AS20057","ATT-MOBILITY-LLC-AS20057 - ATT Mobility LLC","US",19821601,6.82,0.5698,4993988
23,"AS21928","T-MOBILE-AS21928 - T-Mobile USA, Inc.","US",19320927,6.64,0.5554,4867845
24,"AS45899","VNPT-AS-VN VNPT Corp","VN",18862715,37.30,0.5422,2820443
25,"AS24560","AIRTELBROADBAND-AS-AP Bharti Airtel Ltd., Telemedia Services","IN",18624680,3.92,0.5354,2607599
26,"AS9299","IPG-AS-AP Philippine Long Distance Telephone Company","PH",18269307,38.97,0.5252,2119465
27,"AS3215","AS3215","FR",18049144,31.93,0.5188,2515836
28,"AS4766","KIXS-AS-KR Korea Telecom","KR",17557198,39.93,0.5047,1863598
29,"AS37148","globacom-as","NG",17231618,18.70,0.4953,314337
30,"AS12389","ROSTELECOM-AS","RU",16318768,15.90,0.4691,2301551
31,"AS4713","OCN NTT Communications Corporation","JP",15895860,13.74,0.4569,962131
32,"AS7552","VIETEL-AS-AP Viettel Group","VN",14952787,29.57,0.4298,2235812
33,"AS132199","GLOBE-MOBILE-5TH-GEN-AS Globe Telecom Inc.","PH",14385177,30.68,0.4135,1668858
34,"AS56046","CMNET-JIANGSU-AP China Mobile communications corporation","CN",13807038,1.86,0.3969,463756
35,"AS23693","TELKOMSEL-ASN-ID PT. Telekomunikasi Selular","ID",13634270,24.84,0.3919,3832377
36,"AS5607","BSKYB-BROADBAND-AS","GB",12704298,20.51,0.3652,1551239
37,"AS3352","TELEFONICADEESPANA","ES",12580187,32.96,0.3616,1276655
38,"AS45595","PKTELECOM-AS-PK Pakistan Telecom Company Limited","PK",12495024,34.44,0.3592,1596236
39,"AS44244","IRANCELL-AS","IR",12125303,29.99,0.3486,689823
40,"AS197207","MCCI-AS","IR",12113843,29.96,0.3482,689171
41,"AS20115","CHARTER-NET-HKY-NC - Charter Communications","US",11874005,4.08,0.3413,2991617
42,"AS8048","CANTV Servicios, Venezuela","VE",11803432,62.34,0.3393,788292
43,"AS36903","MT-MPLS","MA",11655421,55.36,0.3350,1337415
44,"AS4755","TATACOMM-AS TATA Communications formerly VSNL is Leading ISP","IN",11539256,2.43,0.3317,1615585
45,"AS5089","NTL","GB",11490844,18.55,0.3303,1403072
46,"AS47331","TTNET","TR",11487079,23.91,0.3302,4787750
47,"AS701","UUNET - MCI Communications Services, Inc. dba Verizon Business","US",11220351,3.86,0.3225,2826931
48,"AS2856","BT-UK-AS BTnet UK Regional network","GB",10974618,17.72,0.3155,1340039
49,"AS56041","CMNET-ZHEJIANG-AP China Mobile communications corporation","CN",10952866,1.48,0.3148,367889
50,"AS10507","SPCS - Sprint Personal Communications Systems","US",10197444,3.51,0.2931,2569213
51,"AS33771","SAFARICOM-LIMITED","KE",10171313,43.50,0.2924,270436
52,"AS3209","VODANET International IP-Backbone of Vodafone","DE",10061782,13.87,0.2892,624778
53,"AS4847","CNIX-AP China Networks Inter-Exchange","CN",10026504,1.35,0.2882,336774
54,"AS24400","CMNET-V4SHANGHAI-AS-AP Shanghai Mobile Communications Co.,Ltd.","CN",9992087,1.35,0.2872,335618
55,"AS18881","TELEFNICA BRASIL S.A","BR",9881030,7.02,0.2840,954392
56,"AS9605","DOCOMO NTT DOCOMO, INC.","JP",9792069,8.47,0.2815,592686
57,"AS56048","CMNET-BEIJING-AP China Mobile Communicaitons Corporation","CN",9508765,1.28,0.2733,319384
58,"AS18403","FPT-AS-AP The Corporation for Financing  Promoting Technology","VN",9342319,18.48,0.2686,1396908
59,"AS15557","LDCOMNET","FR",9268029,16.39,0.2664,1291853
60,"AS26599","TELEFNICA BRASIL S.A","BR",9243034,6.56,0.2657,892769
61,"AS3269","ASN-IBSNAZ","IT",9198779,23.67,0.2644,1474331
62,"AS12479","UNI2-AS","ES",8964155,23.49,0.2577,909695
63,"AS8359","MTS","RU",8908488,8.68,0.2561,1256427
64,"AS22773","ASN-CXA-ALL-CCI-22773-RDC - Cox Communications Inc.","US",8875942,3.05,0.2551,2236265
65,"AS24444","CMNET-V4SHANDONG-AS-AP Shandong Mobile Communication Company Limited","CN",8843208,1.19,0.2542,297029
66,"AS7738","Telemar Norte Leste S.A.","BR",8829629,6.27,0.2538,852839
67,"AS8452","TE-AS TE-AS","EG",8552939,25.70,0.2459,442886
68,"AS12322","PROXAD","FR",8392122,14.84,0.2412,1169762
69,"AS4788","TMNET-AS-AP TM Net, Internet Service Provider","MY",8301731,37.38,0.2386,1351652
70,"AS5410","ASN-BOUYGTEL-ISP","FR",8300880,14.68,0.2386,1157044
71,"AS1221","ASN-TELSTRA Telstra Pty Ltd","AU",8247921,38.73,0.2371,652497
72,"AS3462","HINET Data Communication Business Group","TW",8225095,43.43,0.2364,2334840
73,"AS27699","TELEFNICA BRASIL S.A","BR",8090782,5.74,0.2326,781475
74,"AS9121","TTNET","TR",8045252,16.74,0.2313,3353216
75,"AS39891","ALJAWWALSTC-AS","SA",7978558,36.22,0.2293,842276
76,"AS7713","TELKOMNET-AS-AP PT Telekomunikasi Indonesia","ID",7975672,14.53,0.2293,2241835
77,"AS9498","BBIL-AP BHARTI Airtel Ltd.","IN",7897557,1.66,0.2270,1105719
78,"AS30722","VODAFONE-IT-ASN","IT",7815722,20.11,0.2247,1252662
79,"AS26615","Tim Celular S.A.","BR",7775392,5.52,0.2235,751012
80,"AS209","CENTURYLINK-US-LEGACY-QWEST - Qwest Communications Company, LLC","US",7736019,2.66,0.2224,1949065
81,"AS6805","TDDE-ASN1","DE",7696536,10.61,0.2212,477910
82,"AS10796","SCRR-10796 - Time Warner Cable Internet LLC","US",7604666,2.62,0.2186,1915971
83,"AS17816","CHINA169-GZ China Unicom IP network China169 Guangdong province","CN",7525758,1.02,0.2163,252778
84,"AS6147","Telefonica del Peru S.A.A.","PE",7292190,54.13,0.2096,1200114
85,"AS9318","SKB-AS SK Broadband Co Ltd","KR",7198741,16.37,0.2069,764106
86,"AS37457","Telkom-Internet","ZA",7181119,23.84,0.2064,170731
87,"AS24445","CMNET-V4HENAN-AS-AP Henan Mobile Communications Co.,Ltd","CN",7058037,0.95,0.2029,237068
88,"AS30873","PTC-YEMENNET","YE",7054802,96.99,0.2028,129357
89,"AS17974","TELKOMNET-AS2-AP PT Telekomunikasi Indonesia","ID",6869993,12.52,0.1975,1931046
90,"AS56047","CMNET-HUNAN-AP China Mobile communications corporation","CN",6865768,0.93,0.1974,230610
91,"AS5617","TPNET","PL",6832433,24.80,0.1964,1255966
92,"AS36992","ETISALAT-MISR","EG",6828045,20.52,0.1963,353568
93,"AS16345","BEE-AS Russia","RU",6787294,6.61,0.1951,957260
94,"AS5384","EMIRATES-INTERNET Emirates Internet","AE",6689655,75.40,0.1923,278388
95,"AS24309","CABLELITE-AS-AP Atria Convergence Technologies Pvt. Ltd. Broadband Internet Service Provider INDIA","IN",6646826,1.40,0.1911,930607
96,"AS8193","BRM","UZ",6440889,38.59,0.1851,90282
97,"AS17488","HATHWAY-NET-AP Hathway IP Over Cable Internet","IN",6423717,1.35,0.1847,899370
98,"AS36935","Vodafone-","EG",6411064,19.27,0.1843,331976
99,"AS1267","ASN-WINDTRE IUNET","IT",6410309,16.50,0.1843,1027410
100,"AS7303","Telecom Argentina S.A.","AR",6400574,20.55,0.1840,1024594
101,"AS17621","CNCGROUP-SH China Unicom Shanghai network","CN",6369852,0.86,0.1831,213953
102,"AS16135","TURKCELL-AS Turkcell A.S.","TR",6267800,13.04,0.1802,2612384
103,"AS22085","Claro SA","BR",6262538,4.45,0.1800,604888
104,"AS24203","NAPXLNET-AS-ID PT Excelcomindo Pratama (Network Access Provider)","ID",6167434,11.24,0.1773,1733568
105,"AS13999","Mega Cable, S.A. de C.V.","MX",6127714,10.29,0.1761,1240310
106,"AS4538","ERX-CERNET-BKB China Education and Research Network Center","CN",6007227,0.81,0.1727,201773
107,"AS9644","SKTELECOM-NET-AS SK Telecom","KR",5992130,13.63,0.1722,636031
108,"AS59257","CMPAKLIMITED-AS-AP CMPak Limited","PK",5945406,16.39,0.1709,759524
109,"AS25019","SAUDINETSTC-AS","SA",5880572,26.70,0.1690,620797
110,"AS31334","KABELDEUTSCHLAND-AS","DE",5859567,8.08,0.1684,363845
111,"AS131445","AIS3G-2100-AS-AP Advance Wireless Network","TH",5655071,19.11,0.1626,864137
112,"AS24547","CMNET-V4HEBEI-AS-AP Hebei Mobile Communication Company Limited","CN",5530871,0.75,0.1590,185773
113,"AS37076","EMTS-NIGERIA-AS","NG",5454922,5.92,0.1568,99508
114,"AS4761","INDOSAT-INP-AP INDOSAT Internet Network Provider","ID",5450930,9.93,0.1567,1532170
115,"AS34984","TELLCOM-AS","TR",5436824,11.31,0.1563,2266038
116,"AS29256","INT-PDN-STE-AS STE PDN Internal AS","SY",5415510,100.00,0.1557,214983
117,"AS45727","THREE-AS-ID Hutchison CP Telecommunications, PT","ID",5374782,9.79,0.1545,1510766
118,"AS812","ROGERS-COMMUNICATIONS - Rogers Communications Canada Inc.","CA",5321063,16.16,0.1530,749277
119,"AS20001","ROADRUNNER-WEST - Time Warner Cable Internet LLC","US",5299687,1.82,0.1523,1335239
120,"AS6713","IAM-AS","MA",5260367,24.99,0.1512,603607
121,"AS12430","VODAFONEES","ES",5186556,13.59,0.1491,526339
122,"AS15897","VODAFONETURKEY","TR",5129143,10.67,0.1474,2137798
123,"AS12576","ORANGE-PCS","GB",5096783,8.23,0.1465,622335
124,"AS36947","ALGTEL-AS","DZ",5092479,60.74,0.1464,2568760
125,"AS18209","BEAMTELE-AS-AP Atria Convergence Technologies pvt ltd","IN",5085019,1.07,0.1462,711942
126,"AS8167","Brasil Telecom SA - Filial Distrito Federal","BR",5053137,3.59,0.1453,488074
127,"AS17622","CNCGROUP-GZ China Unicom Guangzhou network","CN",5037278,0.68,0.1448,169194
128,"AS10620","Telmex Colombia S.A.","CO",4988444,17.61,0.1434,773637
129,"AS17552","TRUE-AS-AP True Internet Co.,Ltd.","TH",4971459,16.80,0.1429,759676
130,"AS577","BACOM - Bell Canada","CA",4967410,15.08,0.1428,699478
131,"AS6830","LGI-UPC formerly known as UPC Broadband Holding B.V.","DE",4946487,6.82,0.1422,307148
132,"AS20978","AVEA-TELEKOMUNIKASYON Istanbul","TR",4937835,10.28,0.1419,2058062
133,"AS33363","BHN-TAMPA - BRIGHT HOUSE NETWORKS, LLC","US",4761692,1.64,0.1369,1199693
134,"AS6128","CABLE-NET-1 - Cablevision Systems Corp.","US",4693011,1.61,0.1349,1182389
135,"AS5650","FRONTIER-FRTR - Frontier Communications of America, Inc.","US",4670034,1.61,0.1342,1176600
136,"AS51207","FREEM","FR",4625258,8.18,0.1330,644706
137,"AS24757","EthioNet-AS","ET",4603436,100.00,0.1323,200666
138,"AS45758","TRIPLETNET-AS-AP Triple T InternetTriple T Broadband","TH",4581740,15.48,0.1317,700124
139,"AS13489","EPM Telecomunicaciones S.A. E.S.P.","CO",4546527,16.05,0.1307,705102
140,"AS10139","SMARTBRO-PH-AP Smart Broadband, Inc.","PH",4519088,9.64,0.1299,524270
141,"AS35819","MOBILY-AS Etihad Etisalat Company (Mobily)","SA",4460191,20.25,0.1282,470851
142,"AS3816","COLOMBIA TELECOMUNICACIONES S.A. ESP","CO",4429998,15.64,0.1273,687030
143,"AS132061","REALMOVE-AS-AP Realmove Company Limited","TH",4357935,14.73,0.1253,665925
144,"AS10318","CABLEVISION S.A.","AR",4353109,13.97,0.1251,696839
145,"AS11427","SCRR-11427 - Time Warner Cable Internet LLC","US",4347906,1.50,0.1250,1095441
146,"AS16232","ASN-TIM Service Provider","IT",4280253,11.01,0.1230,686016
147,"AS5432","BELGACOM-SKYNET-AS","BE",4279684,41.86,0.1230,354327
148,"AS17072","TOTAL PLAY TELECOMUNICACIONES SA DE CV","MX",4251481,7.14,0.1222,860542
149,"AS8708","RCS-RDS 73-75 Dr. Staicovici","RO",4220975,37.31,0.1213,1025219
150,"AS17858","POWERVIS-AS-KR LG POWERCOMM","KR",4205959,9.57,0.1209,446439
151,"AS11426","SCRR-11426 - Time Warner Cable Internet LLC","US",4198145,1.44,0.1207,1057709
152,"AS24863","LINKdotNET-AS","EG",4174097,12.54,0.1200,216142
153,"AS12874","FASTWEB","IT",4128351,10.62,0.1187,661670
154,"AS24835","RAYA-AS","EG",4058091,12.20,0.1167,210135
155,"AS4804","MPX-AS Microplex PTY LTD","AU",4034750,18.94,0.1160,319191
156,"AS1136","KPN This macro reflects our filtering-policy on","NL",4007134,24.98,0.1152,415296
157,"AS36998","SDN-MOBITEL","SD",3986374,35.70,0.1146,29912
158,"AS9534","MAXIS-AS1-AP Binariang Berhad","MY",3951056,17.79,0.1136,643294
159,"AS45669","MOBILINK-AS-PK PMCL LDI IP TRANSIT","PK",3906325,10.77,0.1123,499032
160,"AS852","ASN852 - TELUS Communications Inc.","CA",3889708,11.81,0.1118,547723
161,"AS30986","SCANCOM","GH",3853357,45.27,0.1108,460959
162,"AS6327","SHAW - Shaw Communications Inc.","CA",3847070,11.68,0.1106,541719
163,"AS2527","SO-NET So-net Entertainment Corporation","JP",3746451,3.24,0.1077,226762
164,"AS27725","Empresa de Telecomunicaciones de Cuba, S.A.","CU",3677390,98.76,0.1057,87953
165,"AS9198","KAZTELECOM-AS","KZ",3659830,35.33,0.1052,564853
166,"AS11351","RR-NYSREGION-ASN-01 - Time Warner Cable Internet LLC","US",3658467,1.26,0.1052,921739
167,"AS28548","Cablevisin, S.A. de C.V.","MX",3647593,6.13,0.1049,738309
168,"AS7418","TELEFNICA CHILE S.A.","CL",3644225,25.58,0.1048,517517
169,"AS3303","SWISSCOM Swisscom (Switzerland) Ltd","CH",3560317,47.49,0.1023,288237
170,"AS37340","Spectranet","NG",3520855,3.82,0.1012,64227
171,"AS6400","Compaa Dominicana de Telfonos, C. por A. - CODETEL","DO",3481859,61.25,0.1001,929271
172,"AS15399","WANANCHI-","KE",3479450,14.88,0.1000,92512
173,"AS12252","America Movil Peru S.A.C.","PE",3454201,25.64,0.0993,568476
174,"AS24086","VIETTEL-AS-VN Viettel Corporation","VN",3418062,6.76,0.0983,511085
175,"AS15706","Sudatel","SD",3403717,30.48,0.0978,25540
176,"AS45820","TTSL-MEISISP Tata Teleservices ISP AS","IN",3390163,0.71,0.0975,474649
177,"AS9824","JTCL-JP-AS Jupiter Telecommunication Co. Ltd","JP",3381590,2.92,0.0972,204678
178,"AS17511","K-OPTICOM K-Opticom Corporation","JP",3354610,2.90,0.0964,203045
179,"AS22927","Telefonica de Argentina","AR",3353749,10.77,0.0964,536863
180,"AS58224","TCI","IR",3348303,8.28,0.0962,190489
181,"AS17639","CONVERGE-AS Converge ICT Solutions Inc.","PH",3347669,7.14,0.0962,388371
182,"AS8346","SONATEL-AS Autonomous System","SN",3333089,85.54,0.0958,576576
183,"AS17421","EMOME-NET Mobile Business Group","TW",3328027,17.57,0.0957,944720
184,"AS23724","CHINANET-IDC-BJ-AP IDC, China Telecommunications Corporation","CN",3289917,0.44,0.0946,110503
185,"AS6848","TELENET-AS","BE",3267591,31.96,0.0939,270533
186,"AS18207","YOU-INDIA-AP YOU Broadband  Cable India Ltd.","IN",3259791,0.69,0.0937,456396
187,"AS17853","LGTELECOM-AS-KR LGTELECOM","KR",3239756,7.37,0.0931,343882
188,"AS56044","CMNET-AS-LIAONING China Mobile communications corporation","CN",3231862,0.44,0.0929,108553
189,"AS6799","OTENET-GR Athens - Greece","GR",3141446,43.56,0.0903,1431662
190,"AS24378","ENGTAC-AS-TH-AP Total Access Communication PLC.","TH",3125973,10.56,0.0899,477672
191,"AS16637","MTNNS-AS","ZA",3100780,10.29,0.0891,73721
192,"AS55824","NKN-CORE-NW NKN Core Network","IN",3094322,0.65,0.0889,433229
193,"AS13285","OPALTELECOM-AS TalkTalk Communications Limited","GB",3079199,4.97,0.0885,375981
194,"AS17623","CNCGROUP-SZ China Unicom Shenzen network","CN",3077195,0.42,0.0885,103358
195,"AS22047","VTR BANDA ANCHA S.A.","CL",3072893,21.57,0.0883,436382
196,"AS33915","TNF-AS","NL",3069448,19.13,0.0882,318115
197,"AS28403","RadioMovil Dipsa, S.A. de C.V.","MX",3051342,5.12,0.0877,617622
198,"AS15895","KSNET-AS","UA",3045296,15.75,0.0875,659552
199,"AS14080","Telmex Colombia S.A.","CO",3015672,10.65,0.0867,467688
200,"AS29497","KUBANGSM","RU",3011804,2.93,0.0866,424776
201,"AS53813","ZSCALER-INC - ZSCALER, INC.","IN",3010498,0.63,0.0865,421493
202,"AS36925","ASMedi","MA",3009634,14.30,0.0865,345344
203,"AS6697","BELPAK-AS BELPAK","BY",2998835,52.08,0.0862,529595
204,"AS27747","Telecentro S.A.","AR",2969238,9.53,0.0854,475311
205,"AS41202","UNITEL","UZ",2887349,17.30,0.0830,40472
206,"AS8402","CORBINA-AS OJSC Vimpelcom","RU",2867813,2.79,0.0824,404468
207,"AS8881","VERSATEL","DE",2855002,3.94,0.0821,177279
208,"AS12958","MCC SkyLink, Moscow","RU",2845089,2.77,0.0818,401263
209,"AS2518","BIGLOBE BIGLOBE Inc.","JP",2816934,2.44,0.0810,170501
210,"AS23969","TOT-NET TOT Public Company Limited","TH",2800229,9.46,0.0805,427896
211,"AS4818","DIGIIX-AP DiGi Telecommunications Sdn. Bhd.","MY",2799976,12.61,0.0805,455880
212,"AS39603","P4NET P4 UMTS operator in Poland","PL",2796510,10.15,0.0804,514066
213,"AS20294","MTN-","UG",2790687,32.34,0.0802,43079
214,"AS36972","MTN","SD",2779613,24.89,0.0799,20857
215,"AS8374","PLUSNET Plus network operator in Poland","PL",2779200,10.09,0.0799,510884
216,"AS45916","GTPL-AS-AP Gujarat Telelink Pvt Ltd","IN",2776675,0.58,0.0798,388756
217,"AS43766","MTC-KSA-AS","SA",2739651,12.44,0.0788,289218
218,"AS37075","ZAINUGAS","UG",2731218,31.66,0.0785,42161
219,"AS29614","GHANATEL-AS","GH",2696821,31.69,0.0775,322608
220,"AS18004","WIRELESSNET-ID PT WIRELESS INDONESIA ( WIN )","ID",2687206,4.90,0.0772,755331
221,"AS11664","Techtel LMDS Comunicaciones Interactivas S.A.","AR",2678099,8.60,0.0770,428706
222,"AS25159","SONICDUO-AS","RU",2643347,2.58,0.0760,372810
223,"AS19108","SUDDENLINK-COMMUNICATIONS - Suddenlink Communications","US",2606332,0.90,0.0749,656657
224,"AS24499","TPP-AS-PK Telenor Pakistan","PK",2600428,7.17,0.0748,332204
225,"AS5483","HTC-AS Magyar Telekom Nyrt.","HU",2595707,33.49,0.0746,648741
226,"AS10030","CELCOMNET-AP Celcom Internet Service Provider","MY",2594713,11.68,0.0746,422460
227,"AS26611","COMCEL S.A.","CO",2590855,9.15,0.0745,401805
228,"AS24389","GRAMEENPHONE-AS-AP GrameenPhone Ltd.","BD",2561511,11.57,0.0736,373900
229,"AS36926","CKL1-ASN","KE",2558625,10.94,0.0735,68029
230,"AS5769","VIDEOTRON - Videotron Telecom Ltee","CA",2556539,7.76,0.0735,359995
231,"AS3301","TELIANET-SWEDEN Telia Company","SE",2518131,26.94,0.0724,212500
232,"AS29975","VODACOM-","ZA",2514323,8.35,0.0723,59778
233,"AS28469","ATT COMUNICACIONES DIGITALES S DE RL","MX",2500890,4.20,0.0719,506205
234,"AS17762","HTIL-TTML-IN-AP Tata Teleservices Maharashtra Ltd","IN",2485013,0.52,0.0714,347921
235,"AS36907","TVCaboAngola","AO",2459900,33.87,0.0707,48234
236,"AS37069","MOBINIL","EG",2459187,7.39,0.0707,127341
237,"AS18001","DIALOG-AS Dialog Axiata PLC.","LK",2455257,39.89,0.0706,523506
238,"AS29571","ORANGE-COTE-IVOIRE","CI",2432398,43.53,0.0699,191704
239,"AS56042","CMNET-SHANXI-AP China Mobile communications corporation","CN",2425243,0.33,0.0697,81460
240,"AS17638","CHINATELECOM-TJ-AS-AP ASN for TIANJIN Provincial Net of CT","CN",2422147,0.33,0.0696,81356
241,"AS9329","SLTINT-AS-AP Sri Lanka Telecom Internet","LK",2416330,39.26,0.0695,515206
242,"AS28006","CORPORACION NACIONAL DE TELECOMUNICACIONES - CNT EP","EC",2389474,32.51,0.0687,368013
243,"AS6306","TELEFONICA VENEZOLANA, C.A.","VE",2384024,12.59,0.0685,159217
244,"AS60339","H3GUK","GB",2362635,3.81,0.0679,288486
245,"AS55410","VODAFONE-NET-AS-AP C48 Okhla Industrial Estate, New Delhi-110020","IN",2359491,0.50,0.0678,330347
246,"AS29180","O2-ONLINE-AS ripeo2.com 20170104","GB",2324413,3.75,0.0668,283819
247,"AS31549","RASANA","IR",2319989,5.74,0.0667,131987
248,"AS14754","Telgua","GT",2297883,49.52,0.0661,234636
249,"AS7545","TPG-INTERNET-AP TPG Telecom Limited","AU",2292566,10.76,0.0659,181366
250,"AS23860","ALLIANCE-GATEWAY-AS-AP Alliance Broadband Services Pvt. Ltd.","IN",2288709,0.48,0.0658,320437
251,"AS2860","NOSCOMUNICACOES","PT",2288149,33.13,0.0658,368615
252,"AS24608","WINDTRE-AS","IT",2279581,5.87,0.0655,365359
253,"AS37119","unitel-AS","AO",2270692,31.27,0.0653,44524
254,"AS3292","TDC TDC AS","DK",2268248,40.82,0.0652,190586
255,"AS17501","WLINK-NEPAL-AS-AP WorldLink Communications Pvt Ltd","NP",2242673,43.64,0.0645,595655
256,"AS9541","CYBERNET-AP Cyber Internet Services (Pvt) Ltd.","PK",2232998,6.15,0.0642,285265
257,"AS38466","UMOBILE-AS-AP U Mobile Sdn Bhd","MY",2209738,9.95,0.0635,359780
258,"AS28885","OMANTEL-NAP-AS OmanTel NAP","OM",2188502,61.71,0.0629,251024
259,"AS48503","TELE2-KZ Tele2 Kazakhstan","KZ",2183258,21.08,0.0628,336961
260,"AS31133","MF-MGSM-AS PJSC MegaFon","RU",2162601,2.11,0.0622,305007
261,"AS7029","WINDSTREAM - Windstream Communications LLC","US",2160381,0.74,0.0621,544301
262,"AS24158","TAIWANMOBILE-AS Taiwan Mobile Co., Ltd.","TW",2127736,11.24,0.0612,603996
263,"AS6830","LGI-UPC formerly known as UPC Broadband Holding B.V.","PL",2115870,7.68,0.0608,388948
264,"AS37637","Smile-Nigeria-AS","NG",2095234,2.27,0.0602,38221
265,"AS12912","TM","PL",2077388,7.54,0.0597,381874
266,"AS30036","MEDIACOM-ENTERPRISE-BUSINESS - Mediacom Communications Corp","US",2069730,0.71,0.0595,521462
267,"AS36923","SWIFTNG-ASN","NG",2067002,2.24,0.0594,37706
268,"AS6830","LGI-UPC formerly known as UPC Broadband Holding B.V.","NL",2063496,12.86,0.0593,213859
269,"AS17813","MTNL-AP Mahanagar Telephone Nigam Limited","IN",2051944,0.43,0.0590,287288
270,"AS25513","ASN-MGTS-USPD","RU",2042044,1.99,0.0587,288004
271,"AS6739","ONO-AS Cableuropa - ONO","ES",2037959,5.34,0.0586,206815
272,"AS10481","Prima S.A.","AR",2034115,6.53,0.0585,325618
273,"AS19429","ETB - Colombia","CO",2026355,7.15,0.0582,314259
274,"AS12455","JAMBONET","KE",2010522,8.60,0.0578,53456
275,"AS9105","TISCALI-UK ISP Network, UK","GB",1961279,3.17,0.0564,239479
276,"AS27831","Colombia Mvil","CO",1956864,6.91,0.0563,303482
277,"AS38895","AMAZON-AS-AP Amazon.com Tech Telecom","IN",1941193,0.41,0.0558,271782
278,"AS50710","EARTHLINK-AS","IQ",1937119,37.07,0.0557,911913
279,"AS45769","DVOIS-IN D-Vois Broadband Pvt Ltd","IN",1925543,0.41,0.0554,269591
280,"AS6057","Administracion Nacional de Telecomunicaciones","UY",1909233,84.41,0.0549,395952
281,"AS3243","MEO-RESIDENCIAL","PT",1903009,27.56,0.0547,306570
282,"AS12271","SCRR-12271 - Time Warner Cable Internet LLC","US",1899325,0.65,0.0546,478529
283,"AS11315","Telefnica Mviles Argentina S.A. (Movistar Argentina)","AR",1898163,6.09,0.0546,303855
284,"AS23201","Telecel S.A.","PY",1892533,58.06,0.0544,214538
285,"AS11888","Television Internacional, S.A. de C.V.","MX",1882635,3.16,0.0541,381064
286,"AS9674","FET-TW Far EastTone Telecommunication Co., Ltd.","TW",1878331,9.92,0.0540,533198
287,"AS24186","RAILTEL-AS-IN RailTel Corporation of India Ltd., Internet Service Provider, New Delhi","IN",1863711,0.39,0.0536,260934
288,"AS5610","O2-CZECH-REPUBLIC","CZ",1850212,19.69,0.0532,184191
289,"AS38019","CMNET-V4TIANJIN-AS-AP tianjin Mobile Communication Company Limited","CN",1839356,0.25,0.0529,61781
290,"AS25135","VODAFONEUKASN","GB",1816672,2.93,0.0522,221822
291,"AS17506","UCOM UCOM Corp.","JP",1813252,1.57,0.0521,109751
292,"AS27882","Telefnica Celular de Bolivia S.A.","BO",1807039,38.75,0.0519,248300
293,"AS23700","FASTNET-AS-ID Linknet-Fastnet ASN","ID",1786358,3.26,0.0514,502117
294,"AS36912","ORANGE","CM",1774734,39.16,0.0510,136635
295,"AS133481","AIS-FIBRE-AS-AP AIS Fibre","TH",1773742,5.99,0.0510,271041
296,"AS8400","TELEKOM-AS","RS",1769780,37.50,0.0509,722018
297,"AS48832","ZAIN-","JO",1760981,38.28,0.0506,293998
298,"AS45194","SIPL-AS Syscon Infoway Pvt. Ltd.","IN",1756374,0.37,0.0505,245906
299,"AS21826","Corporacin Telemic C.A.","VE",1744464,9.21,0.0501,116504
300,"AS2497","IIJ Internet Initiative Japan Inc.","JP",1737964,1.50,0.0500,105194
301,"AS47524","TURKSAT-AS","TR",1732470,3.61,0.0498,722084
302,"AS327952","AS-NATCOM","NG",1708815,1.85,0.0491,31172
303,"AS30992","MTN-NS-CAMEROON","CM",1704957,37.62,0.0490,131263
